Pkt-Cnt,rx_time,port,millis,UTC,Alt,Lng,Lat,VBAT,VSOLAR,V3V3,V5V,V3V3EF,EPS,TS,T,H,PAY,Ax,Ay,Az,Gx,Gy,Gz,Sat,raw
,2025-09-21T01:13:13Z,COM6,,UTC=9:13:4,N/A,N/A,N/A,8.318,0.200,3.346,5.000,3.339,,,34,72,SAT=0,15.37,-12.93,1013.09,0.00,-647.50,0.00,,"Package=108,UTC=9:13:4,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.37,Ay=-12.93,Az=1013.09,Gx=0.00,Gy=-647.50,Gz=0.00,T=34,H=72,SAT=0,VBAT=8.318,VSOLAR=0.200,V3V3=3.346,V5V=5.000,V3V3EF=3.339"
,2025-09-21T01:13:14Z,COM6,,UTC=9:13:5,N/A,N/A,N/A,8.320,0.202,3.343,5.000,3.342,,,34,72,SAT=0,15.37,-12.81,1013.33,0.00,-560.00,-17.50,,"Package=109,UTC=9:13:5,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.37,Ay=-12.81,Az=1013.33,Gx=0.00,Gy=-560.00,Gz=-17.50,T=34,H=72,SAT=0,VBAT=8.320,VSOLAR=0.202,V3V3=3.343,V5V=5.000,V3V3EF=3.342"
,2025-09-21T01:13:15Z,COM6,,UTC=9:13:6,N/A,N/A,N/A,8.339,0.183,3.350,5.000,3.349,,,34,72,SAT=0,15.37,-12.69,1013.33,0.00,-630.00,0.00,,"Package=110,UTC=9:13:6,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.37,Ay=-12.69,Az=1013.33,Gx=0.00,Gy=-630.00,Gz=0.00,T=34,H=72,SAT=0,VBAT=8.339,VSOLAR=0.183,V3V3=3.350,V5V=5.000,V3V3EF=3.349,T"
,2025-09-21T01:13:16Z,COM6,,UTC=9:13:8,,N,N/A,,,,,,,,,,,,,,,,,,"Package=112,UTC=9:13:8,Lat=N/A,Lng=N"
,2025-09-21T01:13:17Z,COM6,,UTC=9:13:9,N/A,N/A,N/A,8.307,0.165,3.348,5.000,3,,,35,72,SAT=0,15.62,-12.93,1012.72,0.00,-647.50,0.00,,"Package=113,UTC=9:13:9,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.62,Ay=-12.93,Az=1012.72,Gx=0.00,Gy=-647.50,Gz=0.00,T=35,H=72,SAT=0,VBAT=8.307,VSOLAR=0.165,V3V3=3.348,V5V=5.000,V3V3EF=3"
,2025-09-21T01:13:20Z,COM6,,UTC=9:13:11,N/A,N/A,N/A,8.307,0.157,3.352,5.000,3,,,35,70,SAT=0,15.49,-12.81,1013.09,17.50,-647.50,17.50,,"Package=115,UTC=9:13:11,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.49,Ay=-12.81,Az=1013.09,Gx=17.50,Gy=-647.50,Gz=17.50,T=35,H=70,SAT=0,VBAT=8.307,VSOLAR=0.157,V3V3=3.352,V5V=5.000,V3V3EF=3"
,2025-09-21T01:13:24Z,COM6,,UTC=9:13:16,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,"Package=120,UTC=9:13:16,Lat=N/A,Lng=N/A,Alt=N/A"
,2025-09-21T01:13:27Z,COM6,,UTC=9:13:18,N/A,N/A,N/A,8.304,0.132,3.349,5.000,,,,35,69,SAT=0,15.37,-12.69,1015.28,-35.00,-647.50,-17.50,,"Package=122,UTC=9:13:18,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.37,Ay=-12.69,Az=1015.28,Gx=-35.00,Gy=-647.50,Gz=-17.50,T=35,H=69,SAT=0,VBAT=8.304,VSOLAR=0.132,V3V3=3.349,V5V=5.000,V3V3EF="
,2025-09-21T01:13:32Z,COM6,,UTC=9:13:24,N/A,N/A,N/A,,,,,,,,,,,15.13,,,,,,,"Package=128,UTC=9:13:24,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.13"
,2025-09-21T01:13:40Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,,,,15.01,-13.,,,,,,"Package=136,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.01,Ay=-13."
,2025-09-21T01:13:48Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,,,,15.25,-13.05,101,,,,,"Package=144,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.25,Ay=-13.05,Az=101"
,2025-09-21T01:13:56Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,,,,14.88,-12.93,1014.92,-5,,,,"Package=152,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=14.88,Ay=-12.93,Az=1014.92,Gx=-5"
,2025-09-21T01:14:04Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,,,,15.01,-12.93,1015.65,-52.50,-57,,,"Package=160,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.01,Ay=-12.93,Az=1015.65,Gx=-52.50,Gy=-57"
,2025-09-21T01:14:09Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,8.308,0.188,3.349,5.000,3,,,37,67,SAT=0,14.88,-13.18,1015.53,-70.00,-700.00,0.00,,"Package=164,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=14.88,Ay=-13.18,Az=1015.53,Gx=-70.00,Gy=-700.00,Gz=0.00,T=37,H=67,SAT=0,VBAT=8.308,VSOLAR=0.188,V3V3=3.349,V5V=5.000,V3V3EF=3"
,2025-09-21T01:14:12Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,,,,14.76,-13.91,1010.16,-52.50,-612.50,1,,"Package=168,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=14.76,Ay=-13.91,Az=1010.16,Gx=-52.50,Gy=-612.50,Gz=1"
,2025-09-21T01:14:15Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,8.319,0.185,3.344,5.000,,,,37,66,SAT=0,15.13,-13.79,1011.62,-70.00,-700.00,-17.50,,"Package=170,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=15.13,Ay=-13.79,Az=1011.62,Gx=-70.00,Gy=-700.00,Gz=-17.50,T=37,H=66,SAT=0,VBAT=8.319,VSOLAR=0.185,V3V3=3.344,V5V=5.000,V3V3EF"
,2025-09-21T01:14:20Z,COM6,,UTC=9:13:29,N/A,N/A,N/A,,,,,,,,3,,,14.64,-13.30,1016.02,-105.00,-630.00,17.50,,"Package=176,UTC=9:13:29,Lat=N/A,Lng=N/A,Alt=N/A,Ax=14.64,Ay=-13.30,Az=1016.02,Gx=-105.00,Gy=-630.00,Gz=17.50,T=3"
